sample_id,sample_date,location,sequence_id
PHS85,2026-05-14,Rachelburg,PHS85|Rachelburg|2026-05-14
PHS65,2026-05-14,Rachelburg,PHS65|Rachelburg|2026-05-14
PHS50,2026-05-14,Nickopolis,PHS50|Nickopolis|2026-05-14
PHS90,2026-05-15,Nickopolis,PHS90|Nickopolis|2026-05-15
PHS80,2026-05-15,Placide_plaza,PHS80|Placide_plaza|2026-05-15
PHS94,2026-05-16,Rachelburg,PHS94|Rachelburg|2026-05-16
PHS119,2026-05-16,Placide_plaza,PHS119|Placide_plaza|2026-05-16
PHS83,2026-05-16,Rachelburg,PHS83|Rachelburg|2026-05-16
PHS73,2026-05-16,Placide_plaza,PHS73|Placide_plaza|2026-05-16
PHS108,2026-05-17,Nickopolis,PHS108|Nickopolis|2026-05-17
PHS81,2026-05-17,Nickopolis,PHS81|Nickopolis|2026-05-17
PHS84,2026-05-17,Andrewburg,PHS84|Andrewburg|2026-05-17
PHS97,2026-05-17,Nickopolis,PHS97|Nickopolis|2026-05-17
PHS56,2026-05-18,Nickopolis,PHS56|Nickopolis|2026-05-18
PHS146,2026-05-19,Rachelburg,PHS146|Rachelburg|2026-05-19
PHS63,2026-05-19,Mylona_city,PHS63|Mylona_city|2026-05-19
PHS91,2026-05-19,Nickopolis,PHS91|Nickopolis|2026-05-19
PHS79,2026-05-19,Rachelburg,PHS79|Rachelburg|2026-05-19
PHS142,2026-05-20,Mylona_city,PHS142|Mylona_city|2026-05-20
PHS78,2026-05-20,Nickopolis,PHS78|Nickopolis|2026-05-20
PHS72,2026-05-20,Rachelburg,PHS72|Rachelburg|2026-05-20
PHS101,2026-05-20,Rachelburg,PHS101|Rachelburg|2026-05-20
PHS68,2026-05-21,Andrewburg,PHS68|Andrewburg|2026-05-21
PHS173,2026-05-21,Rachelburg,PHS173|Rachelburg|2026-05-21
PHS139,2026-05-21,Placide_plaza,PHS139|Placide_plaza|2026-05-21
PHS154,2026-05-22,Nickopolis,PHS154|Nickopolis|2026-05-22
PHS109,2026-05-22,Rachelburg,PHS109|Rachelburg|2026-05-22
PHS138,2026-05-22,Rachelburg,PHS138|Rachelburg|2026-05-22
PHS141,2026-05-23,Rachelburg,PHS141|Rachelburg|2026-05-23
PHS105,2026-05-23,Nickopolis,PHS105|Nickopolis|2026-05-23
PHS115,2026-05-23,Rachelburg,PHS115|Rachelburg|2026-05-23
PHS75,2026-05-23,Nickopolis,PHS75|Nickopolis|2026-05-23
PHS95,2026-05-24,Rachelburg,PHS95|Rachelburg|2026-05-24
PHS126,2026-05-26,Nickopolis,PHS126|Nickopolis|2026-05-26
PHS111,2026-05-26,Rachelburg,PHS111|Rachelburg|2026-05-26
PHS93,2026-05-26,Nickopolis,PHS93|Nickopolis|2026-05-26
PHS103,2026-05-27,Nickopolis,PHS103|Nickopolis|2026-05-27
PHS104,2026-05-27,Rachelburg,PHS104|Rachelburg|2026-05-27
PHS106,2026-05-27,Nickopolis,PHS106|Nickopolis|2026-05-27
PHS184,2026-05-27,Rachelburg,PHS184|Rachelburg|2026-05-27
PHS150,2026-05-28,Nickopolis,PHS150|Nickopolis|2026-05-28
PHS167,2026-05-28,Andrewburg,PHS167|Andrewburg|2026-05-28
PHS92,2026-05-28,Nickopolis,PHS92|Nickopolis|2026-05-28
PHS99,2026-05-28,Placide_plaza,PHS99|Placide_plaza|2026-05-28
PHS136,2026-05-28,Placide_plaza,PHS136|Placide_plaza|2026-05-28
PHS183,2026-05-28,Andrewburg,PHS183|Andrewburg|2026-05-28
PHS133,2026-05-29,Rachelburg,PHS133|Rachelburg|2026-05-29
PHS135,2026-05-29,Placide_plaza,PHS135|Placide_plaza|2026-05-29
PHS74,2026-05-29,Rachelburg,PHS74|Rachelburg|2026-05-29
PHS120,2026-05-29,Nickopolis,PHS120|Nickopolis|2026-05-29
PHS129,2026-05-29,Rachelburg,PHS129|Rachelburg|2026-05-29
PHS163,2026-05-30,Placide_plaza,PHS163|Placide_plaza|2026-05-30
PHS156,2026-05-30,Andrewburg,PHS156|Andrewburg|2026-05-30
PHS151,2026-05-30,Nickopolis,PHS151|Nickopolis|2026-05-30
PHS162,2026-05-30,Mylona_city,PHS162|Mylona_city|2026-05-30
PHS110,2026-05-30,Placide_plaza,PHS110|Placide_plaza|2026-05-30
PHS174,2026-05-30,Rachelburg,PHS174|Rachelburg|2026-05-30
PHS144,2026-05-31,Placide_plaza,PHS144|Placide_plaza|2026-05-31
PHS87,2026-05-31,Nickopolis,PHS87|Nickopolis|2026-05-31
PHS249,2026-05-31,Rachelburg,PHS249|Rachelburg|2026-05-31
PHS165,2026-05-31,Nickopolis,PHS165|Nickopolis|2026-05-31
PHS157,2026-05-31,Andrewburg,PHS157|Andrewburg|2026-05-31
PHS140,2026-05-31,Rachelburg,PHS140|Rachelburg|2026-05-31
PHS200,2026-05-31,Rachelburg,PHS200|Rachelburg|2026-05-31
PHS107,2026-05-31,Andrewburg,PHS107|Andrewburg|2026-05-31
PHS131,2026-05-31,Rachelburg,PHS131|Rachelburg|2026-05-31
PHS98,2026-05-31,Andrewburg,PHS98|Andrewburg|2026-05-31
PHS187,2026-05-31,Andrewburg,PHS187|Andrewburg|2026-05-31
PHS182,2026-05-31,Nickopolis,PHS182|Nickopolis|2026-05-31
PHS236,2026-05-31,Rachelburg,PHS236|Rachelburg|2026-05-31
PHS233,2026-06-01,Rachelburg,PHS233|Rachelburg|2026-06-01
PHS166,2026-06-01,Mylona_city,PHS166|Mylona_city|2026-06-01
PHS153,2026-06-01,Andrewburg,PHS153|Andrewburg|2026-06-01
PHS112,2026-06-01,Andrewburg,PHS112|Andrewburg|2026-06-01
PHS130,2026-06-01,Rachelburg,PHS130|Rachelburg|2026-06-01
PHS122,2026-06-01,Nickopolis,PHS122|Nickopolis|2026-06-01
PHS158,2026-06-01,Nickopolis,PHS158|Nickopolis|2026-06-01
PHS211,2026-06-01,Rachelburg,PHS211|Rachelburg|2026-06-01
PHS286,2026-06-01,Nickopolis,PHS286|Nickopolis|2026-06-01
PHS194,2026-06-01,Nickopolis,PHS194|Nickopolis|2026-06-01
PHS164,2026-06-01,Rachelburg,PHS164|Rachelburg|2026-06-01
PHS175,2026-06-01,Nickopolis,PHS175|Nickopolis|2026-06-01
PHS145,2026-06-01,Rachelburg,PHS145|Rachelburg|2026-06-01
PHS123,2026-06-02,Rachelburg,PHS123|Rachelburg|2026-06-02
PHS125,2026-06-02,Andrewburg,PHS125|Andrewburg|2026-06-02
PHS116,2026-06-02,Nickopolis,PHS116|Nickopolis|2026-06-02
PHS155,2026-06-02,Nickopolis,PHS155|Nickopolis|2026-06-02
PHS237,2026-06-02,Rachelburg,PHS237|Rachelburg|2026-06-02
PHS253,2026-06-02,Andrewburg,PHS253|Andrewburg|2026-06-02
PHS134,2026-06-02,Rachelburg,PHS134|Rachelburg|2026-06-02
PHS234,2026-06-02,Nickopolis,PHS234|Nickopolis|2026-06-02
PHS176,2026-06-02,Andrewburg,PHS176|Andrewburg|2026-06-02
PHS190,2026-06-02,Andrewburg,PHS190|Andrewburg|2026-06-02
PHS232,2026-06-02,Placide_plaza,PHS232|Placide_plaza|2026-06-02
PHS177,2026-06-02,Andrewburg,PHS177|Andrewburg|2026-06-02
PHS148,2026-06-03,Nickopolis,PHS148|Nickopolis|2026-06-03
PHS117,2026-06-03,Rachelburg,PHS117|Rachelburg|2026-06-03
PHS114,2026-06-03,Rachelburg,PHS114|Rachelburg|2026-06-03
PHS118,2026-06-03,Mylona_city,PHS118|Mylona_city|2026-06-03
PHS160,2026-06-03,Andrewburg,PHS160|Andrewburg|2026-06-03
PHS229,2026-06-03,Rachelburg,PHS229|Rachelburg|2026-06-03
PHS199,2026-06-03,Nickopolis,PHS199|Nickopolis|2026-06-03
PHS204,2026-06-03,Placide_plaza,PHS204|Placide_plaza|2026-06-03
PHS169,2026-06-03,Nickopolis,PHS169|Nickopolis|2026-06-03
PHS149,2026-06-03,Andrewburg,PHS149|Andrewburg|2026-06-03
PHS227,2026-06-03,Rachelburg,PHS227|Rachelburg|2026-06-03
PHS246,2026-06-04,Andrewburg,PHS246|Andrewburg|2026-06-04
PHS221,2026-06-04,Placide_plaza,PHS221|Placide_plaza|2026-06-04
PHS252,2026-06-04,Rachelburg,PHS252|Rachelburg|2026-06-04
PHS161,2026-06-04,Mylona_city,PHS161|Mylona_city|2026-06-04
PHS239,2026-06-04,Nickopolis,PHS239|Nickopolis|2026-06-04
PHS207,2026-06-04,Rachelburg,PHS207|Rachelburg|2026-06-04
PHS208,2026-06-04,Rachelburg,PHS208|Rachelburg|2026-06-04
PHS238,2026-06-04,Nickopolis,PHS238|Nickopolis|2026-06-04
PHS180,2026-06-04,Placide_plaza,PHS180|Placide_plaza|2026-06-04
PHS195,2026-06-04,Placide_plaza,PHS195|Placide_plaza|2026-06-04
PHS213,2026-06-04,Andrewburg,PHS213|Andrewburg|2026-06-04
PHS124,2026-06-04,Placide_plaza,PHS124|Placide_plaza|2026-06-04
PHS192,2026-06-04,Mylona_city,PHS192|Mylona_city|2026-06-04
PHS202,2026-06-04,Mylona_city,PHS202|Mylona_city|2026-06-04
PHS220,2026-06-04,Andrewburg,PHS220|Andrewburg|2026-06-04
PHS143,2026-06-04,Placide_plaza,PHS143|Placide_plaza|2026-06-04
PHS216,2026-06-04,Rachelburg,PHS216|Rachelburg|2026-06-04
PHS189,2026-06-04,Nickopolis,PHS189|Nickopolis|2026-06-04
PHS197,2026-06-04,Rachelburg,PHS197|Rachelburg|2026-06-04
PHS198,2026-06-05,Andrewburg,PHS198|Andrewburg|2026-06-05
PHS188,2026-06-05,Rachelburg,PHS188|Rachelburg|2026-06-05
PHS242,2026-06-05,Placide_plaza,PHS242|Placide_plaza|2026-06-05
PHS219,2026-06-05,Placide_plaza,PHS219|Placide_plaza|2026-06-05
PHS215,2026-06-05,Rachelburg,PHS215|Rachelburg|2026-06-05
PHS244,2026-06-05,Placide_plaza,PHS244|Placide_plaza|2026-06-05
PHS212,2026-06-05,Mylona_city,PHS212|Mylona_city|2026-06-05
PHS186,2026-06-05,Rachelburg,PHS186|Rachelburg|2026-06-05
PHS201,2026-06-05,Nickopolis,PHS201|Nickopolis|2026-06-05
PHS193,2026-06-05,Andrewburg,PHS193|Andrewburg|2026-06-05
PHS178,2026-06-05,Andrewburg,PHS178|Andrewburg|2026-06-05
PHS206,2026-06-05,Placide_plaza,PHS206|Placide_plaza|2026-06-05
PHS235,2026-06-05,Rachelburg,PHS235|Rachelburg|2026-06-05
PHS185,2026-06-05,Rachelburg,PHS185|Rachelburg|2026-06-05
PHS170,2026-06-05,Mylona_city,PHS170|Mylona_city|2026-06-05
PHS172,2026-06-05,Nickopolis,PHS172|Nickopolis|2026-06-05
PHS282,2026-06-05,Nickopolis,PHS282|Nickopolis|2026-06-05
PHS159,2026-06-05,Rachelburg,PHS159|Rachelburg|2026-06-05
PHS258,2026-06-05,Andrewburg,PHS258|Andrewburg|2026-06-05
PHS293,2026-06-06,Nickopolis,PHS293|Nickopolis|2026-06-06
PHS113,2026-06-06,Nickopolis,PHS113|Nickopolis|2026-06-06
PHS210,2026-06-06,Nickopolis,PHS210|Nickopolis|2026-06-06
PHS222,2026-06-06,Rachelburg,PHS222|Rachelburg|2026-06-06
PHS261,2026-06-06,Placide_plaza,PHS261|Placide_plaza|2026-06-06
PHS179,2026-06-06,Nickopolis,PHS179|Nickopolis|2026-06-06
PHS223,2026-06-07,Nickopolis,PHS223|Nickopolis|2026-06-07
PHS277,2026-06-07,Rachelburg,PHS277|Rachelburg|2026-06-07
PHS298,2026-06-07,Nickopolis,PHS298|Nickopolis|2026-06-07
PHS265,2026-06-07,Nickopolis,PHS265|Nickopolis|2026-06-07
PHS332,2026-06-07,Rachelburg,PHS332|Rachelburg|2026-06-07
PHS245,2026-06-07,Andrewburg,PHS245|Andrewburg|2026-06-07
PHS243,2026-06-07,Placide_plaza,PHS243|Placide_plaza|2026-06-07
PHS191,2026-06-07,Rachelburg,PHS191|Rachelburg|2026-06-07
PHS240,2026-06-07,Rachelburg,PHS240|Rachelburg|2026-06-07
PHS317,2026-06-07,Rachelburg,PHS317|Rachelburg|2026-06-07
PHS306,2026-06-08,Nickopolis,PHS306|Nickopolis|2026-06-08
PHS262,2026-06-08,Nickopolis,PHS262|Nickopolis|2026-06-08
PHS334,2026-06-08,Placide_plaza,PHS334|Placide_plaza|2026-06-08
PHS292,2026-06-08,Rachelburg,PHS292|Rachelburg|2026-06-08
PHS228,2026-06-08,Nickopolis,PHS228|Nickopolis|2026-06-08
PHS224,2026-06-08,Nickopolis,PHS224|Nickopolis|2026-06-08
PHS300,2026-06-08,Placide_plaza,PHS300|Placide_plaza|2026-06-08
PHS335,2026-06-08,Placide_plaza,PHS335|Placide_plaza|2026-06-08
PHS254,2026-06-08,Placide_plaza,PHS254|Placide_plaza|2026-06-08
PHS181,2026-06-08,Placide_plaza,PHS181|Placide_plaza|2026-06-08
PHS230,2026-06-08,Andrewburg,PHS230|Andrewburg|2026-06-08
PHS248,2026-06-09,Placide_plaza,PHS248|Placide_plaza|2026-06-09
PHS263,2026-06-09,Nickopolis,PHS263|Nickopolis|2026-06-09
PHS289,2026-06-09,Andrewburg,PHS289|Andrewburg|2026-06-09
PHS305,2026-06-09,Andrewburg,PHS305|Andrewburg|2026-06-09
PHS290,2026-06-09,Rachelburg,PHS290|Rachelburg|2026-06-09
PHS259,2026-06-09,Rachelburg,PHS259|Rachelburg|2026-06-09
PHS203,2026-06-09,Rachelburg,PHS203|Rachelburg|2026-06-09
PHS276,2026-06-09,Andrewburg,PHS276|Andrewburg|2026-06-09
PHS339,2026-06-09,Rachelburg,PHS339|Rachelburg|2026-06-09
PHS231,2026-06-09,Andrewburg,PHS231|Andrewburg|2026-06-09
PHS288,2026-06-10,Andrewburg,PHS288|Andrewburg|2026-06-10
PHS299,2026-06-10,Nickopolis,PHS299|Nickopolis|2026-06-10
PHS260,2026-06-10,Rachelburg,PHS260|Rachelburg|2026-06-10
PHS350,2026-06-10,Nickopolis,PHS350|Nickopolis|2026-06-10
PHS284,2026-06-10,Andrewburg,PHS284|Andrewburg|2026-06-10
PHS214,2026-06-11,Andrewburg,PHS214|Andrewburg|2026-06-11
PHS313,2026-06-11,Placide_plaza,PHS313|Placide_plaza|2026-06-11
PHS369,2026-06-11,Rachelburg,PHS369|Rachelburg|2026-06-11
PHS325,2026-06-11,Placide_plaza,PHS325|Placide_plaza|2026-06-11
PHS274,2026-06-11,Andrewburg,PHS274|Andrewburg|2026-06-11
PHS357,2026-06-11,Rachelburg,PHS357|Rachelburg|2026-06-11
PHS318,2026-06-11,Mylona_city,PHS318|Mylona_city|2026-06-11
PHS365,2026-06-11,Rachelburg,PHS365|Rachelburg|2026-06-11
PHS363,2026-06-11,Placide_plaza,PHS363|Placide_plaza|2026-06-11
PHS320,2026-06-11,Rachelburg,PHS320|Rachelburg|2026-06-11
PHS327,2026-06-12,Rachelburg,PHS327|Rachelburg|2026-06-12
PHS314,2026-06-12,Nickopolis,PHS314|Nickopolis|2026-06-12
PHS279,2026-06-12,Andrewburg,PHS279|Andrewburg|2026-06-12
PHS270,2026-06-12,Andrewburg,PHS270|Andrewburg|2026-06-12
PHS241,2026-06-12,Nickopolis,PHS241|Nickopolis|2026-06-12
PHS345,2026-06-12,Mylona_city,PHS345|Mylona_city|2026-06-12
PHS256,2026-06-12,Mylona_city,PHS256|Mylona_city|2026-06-12
PHS297,2026-06-12,Rachelburg,PHS297|Rachelburg|2026-06-12
PHS349,2026-06-12,Rachelburg,PHS349|Rachelburg|2026-06-12
PHS324,2026-06-12,Placide_plaza,PHS324|Placide_plaza|2026-06-12
PHS273,2026-06-13,Andrewburg,PHS273|Andrewburg|2026-06-13
PHS257,2026-06-13,Rachelburg,PHS257|Rachelburg|2026-06-13
PHS311,2026-06-13,Andrewburg,PHS311|Andrewburg|2026-06-13
PHS346,2026-06-13,Andrewburg,PHS346|Andrewburg|2026-06-13
PHS331,2026-06-13,Nickopolis,PHS331|Nickopolis|2026-06-13
PHS342,2026-06-13,Rachelburg,PHS342|Rachelburg|2026-06-13
PHS308,2026-06-13,Rachelburg,PHS308|Rachelburg|2026-06-13
PHS328,2026-06-13,Rachelburg,PHS328|Rachelburg|2026-06-13
PHS364,2026-06-13,Rachelburg,PHS364|Rachelburg|2026-06-13
PHS361,2026-06-13,Nickopolis,PHS361|Nickopolis|2026-06-13
PHS310,2026-06-13,Andrewburg,PHS310|Andrewburg|2026-06-13
PHS264,2026-06-13,Placide_plaza,PHS264|Placide_plaza|2026-06-13
PHS360,2026-06-14,Rachelburg,PHS360|Rachelburg|2026-06-14
PHS337,2026-06-14,Nickopolis,PHS337|Nickopolis|2026-06-14
PHS336,2026-06-14,Placide_plaza,PHS336|Placide_plaza|2026-06-14
PHS303,2026-06-14,Andrewburg,PHS303|Andrewburg|2026-06-14
PHS348,2026-06-14,Placide_plaza,PHS348|Placide_plaza|2026-06-14
PHS272,2026-06-14,Rachelburg,PHS272|Rachelburg|2026-06-14
PHS333,2026-06-14,Rachelburg,PHS333|Rachelburg|2026-06-14
PHS250,2026-06-14,Nickopolis,PHS250|Nickopolis|2026-06-14
PHS326,2026-06-14,Andrewburg,PHS326|Andrewburg|2026-06-14
PHS271,2026-06-14,Rachelburg,PHS271|Rachelburg|2026-06-14
PHS358,2026-06-14,Rachelburg,PHS358|Rachelburg|2026-06-14
PHS309,2026-06-15,Rachelburg,PHS309|Rachelburg|2026-06-15
PHS225,2026-06-15,Rachelburg,PHS225|Rachelburg|2026-06-15
PHS343,2026-06-15,Andrewburg,PHS343|Andrewburg|2026-06-15
PHS304,2026-06-15,Rachelburg,PHS304|Rachelburg|2026-06-15
PHS294,2026-06-15,Nickopolis,PHS294|Nickopolis|2026-06-15
PHS353,2026-06-15,Placide_plaza,PHS353|Placide_plaza|2026-06-15
PHS338,2026-06-15,Mylona_city,PHS338|Mylona_city|2026-06-15
PHS268,2026-06-15,Andrewburg,PHS268|Andrewburg|2026-06-15
PHS315,2026-06-16,Andrewburg,PHS315|Andrewburg|2026-06-16
PHS255,2026-06-16,Nickopolis,PHS255|Nickopolis|2026-06-16
PHS281,2026-06-16,Andrewburg,PHS281|Andrewburg|2026-06-16
PHS355,2026-06-16,Placide_plaza,PHS355|Placide_plaza|2026-06-16
PHS266,2026-06-17,Nickopolis,PHS266|Nickopolis|2026-06-17
PHS340,2026-06-17,Rachelburg,PHS340|Rachelburg|2026-06-17
PHS341,2026-06-17,Nickopolis,PHS341|Nickopolis|2026-06-17
PHS275,2026-06-17,Rachelburg,PHS275|Rachelburg|2026-06-17
PHS356,2026-06-17,Placide_plaza,PHS356|Placide_plaza|2026-06-17
PHS307,2026-06-17,Andrewburg,PHS307|Andrewburg|2026-06-17
PHS330,2026-06-17,Nickopolis,PHS330|Nickopolis|2026-06-17
PHS296,2026-06-18,Mylona_city,PHS296|Mylona_city|2026-06-18
PHS321,2026-06-18,Nickopolis,PHS321|Nickopolis|2026-06-18
PHS362,2026-06-18,Andrewburg,PHS362|Andrewburg|2026-06-18
PHS269,2026-06-19,Rachelburg,PHS269|Rachelburg|2026-06-19
PHS329,2026-06-19,Rachelburg,PHS329|Rachelburg|2026-06-19
PHS278,2026-06-19,Mylona_city,PHS278|Mylona_city|2026-06-19
PHS319,2026-06-19,Andrewburg,PHS319|Andrewburg|2026-06-19
PHS283,2026-06-19,Andrewburg,PHS283|Andrewburg|2026-06-19
PHS287,2026-06-19,Mylona_city,PHS287|Mylona_city|2026-06-19
PHS344,2026-06-20,Placide_plaza,PHS344|Placide_plaza|2026-06-20
PHS291,2026-06-20,Andrewburg,PHS291|Andrewburg|2026-06-20
PHS347,2026-06-20,Rachelburg,PHS347|Rachelburg|2026-06-20
PHS322,2026-06-20,Placide_plaza,PHS322|Placide_plaza|2026-06-20
PHS367,2026-06-20,Mylona_city,PHS367|Mylona_city|2026-06-20
PHS218,2026-06-20,Rachelburg,PHS218|Rachelburg|2026-06-20
PHS368,2026-06-20,Nickopolis,PHS368|Nickopolis|2026-06-20
PHS301,2026-06-20,Rachelburg,PHS301|Rachelburg|2026-06-20
